id,text
1261733924734005248,Coronavirus: How face masks are becoming fashionable  
1261549702908203008,"Good day Friends. Let us obey our Doctors. Wash our hands, maintain social distance and wear a mask. We should save lives. #COVID-19 #Staysafe #stayathome"
1261480718154248193,"COVID hits the WH. There are no  mask or Ventilators available. Trumps lies and stupidity have caused the death 87,000 Americans. Trump says Americans are warriors, it's no big deal if they die, their sacrifice is to save the  economy "
1261717129742749696,"GOP cannot fathom the logic. Open early, no social distance, no masks, bear the consequences.  Trump base getting wiped."
1261722149980647430," I’d never wait in line to get into any store...and I’ll never wear a mask, unless required in a medical facility. This is total insanity! Ya...why didn’t a Walmart-covid breakout happen? Walmart’s were packed, along w/ Menards & a few others this entire time. It’s all such bs!"
1261781330020401152, Virologist hospitalized with coronavirus believes he was infected through eyes because he was wearing mask  #news 
1261537857648201734,"Don’t play around with coronavirus.  1.4 Million U.S. cases, 87,000+ Deaths. You never know when it’s coming for you. Be safe, wash your hands, wear your mask, 6ft social distancing is necessary.  Period."
1261535860786266113,"#AatmaNirbharBharat When the COVID-19 crisis started not even a single PPE kit was manufactured in India, only a few N95 masks were available. Today 2 Lakh PPE kits and 2 Lakh N95 masks are manufactured in India daily. via NaMo App"
1261725641923334145,"Man drives 530 miles to deliver N95 masks to his sister, a nurse at a COVID-19 hospital in North Carolina:  "
1261686020858236928," Not population density alone that determines spread of #covid19. Orange & Los Angeles Counties are adjacent. Orange has a higher population density than LA Co, but LA Co has been much more restrictive than Orange -- LA beaches closed, masks required... "
1261731954480865283,Interested in mask making? You really need to read this guide to the best materials to use!  #Covid19 #wearamask #masks4all #StayAtHome #Masks4docs #MyMaskSavesLives #Covid_19 #masks4alluk #literacy
1261724309925646336,"Mandatory face masks for passengers, workers starts Monday at Pittsburgh airport (Via WKBN 27 First News) "
1261741261289132034,"Sure, that's why docs and nurses who wear masks for 12-14hours are dropping, because of CO2 narcosis. Idiot."
1261791793324199936,"Trump is getting Americans killed because he encourages racism, violence, disobeying stay at orders, not wearing masks ... he is not making America great"
1261589632145293313," Yes 1 case certainly:  suo moto #PIL in March on #COVID-led closure of #midday #meals in #schools  This, however, can't mask absence of urgency in giving rapid-fire directives to govts to protect #RightToLife of #MigrantsOnTheRoad  I feel ashamed as my daily #5Qs to PM hv failed "
1261755201456951296,Any idiot that goes about with a silly mask on his face should be boiled in his own pudding and buried with a stake of holly through his heart. #coronavirus 😷 #moronavirus
1261697010790359041,All you GD idiots in Santa Clarita who are out and not wearing masks  F you!!!!!! Put A Mask 😷  On  I wanna smack you all in the face but I’m staying way more than 6ft away from you all!!  #coronavirus #WearAMask !!!!!!!!!
1261734932273119232,"T&T is being told to sanitise, wear masks and stay away from others. MORE HERE "
1261608808067018752,Most people with covid -19 may not show any signs but can still spread the diseases. Protect yourself : stay 2 metres away from the next person and use a mask.
1261789917983715329,Nice to see #Police today in #HydeParkProtest following #Government Guidelines with #Social_Distancing yeah right I've never seen so many Police right on each no 2 metres apart like you are meant to where are there face masks? No good wearing gloves that won't protect you! #COVID
1261587532669648898, Evidence based informative video on effectiveness of masks in this Coronavirus pandemic 
1261603700323373056,I sent masks to health workers but the Trump administration seized them instead of helping  via
1261544425836228611,Coronavirus: demand for face masks creates shortfall for those in real need .  At a news conference in Gene... 
1261530174127894530,All coronavirus did was scare men into wearing gay face masks.
